puck_id,x_ofset,y_offset,z_offset
L1a_tile_1220,67618,733041,0
L1a_tile_1221,67618,769383,0
L1a_tile_1222,67618,805725,0
L1a_tile_1223,67618,842067,0
L1a_tile_1224,67618,878409,0
L1a_tile_1225,67618,914751,0
L1a_tile_1226,67618,951093,0
L1a_tile_1227,67618,987435,0
L1a_tile_1228,67618,1023777,0
L1a_tile_1229,67618,1060119,0
L1a_tile_1230,67618,1096461,0
L1a_tile_1231,67618,1132803,0
L1a_tile_1232,67618,1169145,0
L1a_tile_1233,67618,1205487,0
L1a_tile_1234,67618,1241829,0
L1a_tile_1235,67618,1278171,0
L1a_tile_1236,67618,1314513,0
L1a_tile_1237,67618,1350855,0
L1a_tile_1238,67618,1387197,0
L1a_tile_1239,67618,1423539,0
L1a_tile_1240,67618,1459881,0
L1a_tile_1241,67618,1496223,0
L1a_tile_1242,67618,1532565,0
L1a_tile_1243,67618,1568907,0
L1a_tile_1244,67618,1605249,0
L1a_tile_1245,67618,1641591,0
L1a_tile_1246,67618,1677933,0
L1a_tile_1247,67618,1714275,0
L1a_tile_1248,67618,1750617,0
L1a_tile_1249,67618,1786959,0
L1a_tile_1250,67618,1823301,0
L1a_tile_1251,67618,1859643,0
L1a_tile_1252,67618,1895985,0
L1a_tile_1253,67618,1932327,0
L1a_tile_1254,67618,1968669,0
L1a_tile_1255,67618,2005011,0
L1a_tile_1256,67618,2041353,0
L1a_tile_1257,67618,2077695,0
L1a_tile_1258,67618,2114037,0
L1a_tile_1259,67618,2150379,0
L1a_tile_1260,67618,2186721,0
L1a_tile_1261,67618,2223063,0
L1a_tile_1262,67618,2259405,0
L1a_tile_1263,67618,2295747,0
L1a_tile_1264,67618,2332089,0
L1a_tile_1265,67618,2368431,0
L1a_tile_1266,67618,2404773,0
L1a_tile_1267,67618,2441115,0
L1a_tile_1268,67618,2477457,0
L1a_tile_1269,67618,2513799,0
L1a_tile_1270,67618,2550141,0
L1a_tile_1271,67618,2586483,0
L1a_tile_1272,67618,2622825,0
L1a_tile_1273,67618,2659167,0
L1a_tile_1274,67618,2695509,0
L1a_tile_1275,67618,2731851,0
L1a_tile_1276,67618,2768193,0
L1a_tile_1277,67618,2804535,0
L1a_tile_1278,67618,2840877,0
L1a_tile_1301,101427,36342,0
L1a_tile_1302,101427,72684,0
L1a_tile_1303,101427,109026,0
L1a_tile_1304,101427,145368,0
L1a_tile_1305,101427,181710,0
L1a_tile_1306,101427,218052,0
L1a_tile_1307,101427,254394,0
L1a_tile_1308,101427,290736,0
L1a_tile_1309,101427,327078,0
